Symptom,Solution1,Solution2,Solution3,Solution4,Solution5,Solution6,Solution7
There are breaks in the marks / air in the pipe / poor mark quality overall,Check the pipe from the bottle to the robot - is it pinched,Check the pipe from the bottle to the robot - is it correctly connected (an audible click should be heard when connecting the bottle)," Inspect the rest of the paint pipes for pinches, bends or leaks","Inspect the lid of the bottle, the small air hole should not be blocked","Clean or replace the nozzle, it may be partially blocked. Check the O-Ring at the bottle connection, is it damaged.",Contact an AR representitive,Change the pump head
Robot wont mark a section of the Map (Usually far East / North)," Check that the marks are not """"Disabled"""""," Check the dimensions of the hall on the portal vs the CAD, are the portal dimensions correct"," If #2, reprocess the map with correct dimensions""",,,,
The robots wont mark a certain section of a job map,"Ensure that none of the marks in that zone are ""disabled""",Refresh the webpage and confirm that these marks haven't already been painted,"Ensure that a ""temporary obstacle"" wasn't created around these marks",Contact an AR representative,,,
The robot is in a constant error / initilization state,Ensure that the emergency stop buttons arent pushed,Check the notification bell on the GUI - are there any errors being reported?,"Reboot the robot, if the problem persists contact an AR representative"," SSH into device and check ""docker logs -f bringup_hardware""",,,
The robots nozzle is blocked / the nozzle is blocking frequently / the nozzle is dripping paint,Perform a short preload using the button to determine if the nozzle is partially or fully blocked,Dredge the nozzle with the provided cleaning needles,"Replace the nozzle with a new, clean nozzle","Ensure there is enough water in the foam cup, or replace the foam",Contact an AR representitive,,
The marks are inaccurate relative to their intended position in the venue,Ensure that the reference beacons have been placed in the correct locations,"Ensure that all 4 guiding station feet are level, if not - reboot and recalibrate the GS",Check that the booths were copied into the correct location in the processed CAD file,Contact an AR representative,Check GS bolts are tight,,
The marks are inaccurate relative to one-another,"Ensure that all 4 guiding station feet are level, if not - reboot and recalibrate the GS",Escalate,,,,,
Lionel doesnt respond during the calibration step,Ensure that a homebase has been selected to calibrate Lionel,"Ensure that the selected homebase has line of sight to the guiding stations, otherwise, add a new one","Check for any errors by using the notification icon, and ensure the emergency stop is not pressed",Reboot the Lionel robot,Contact an AR representative,,
Lionels marks are slightly skew,Escalate - likely to be the Yaw Settings,,,,,,
Mark is incorrect width,"Adjust the ""default_corner_width"" parameter in device settings",,,,,,
Mark is incorrect length,"Adjust the ""default_corner_length"" parameter in device settings",,,,,,
Robot movement is stuttery between marks,"Check for physical obstruction on the sonar, depthcam","Check depthcam height settings in the env.bash file, the default should be 0.15m",Disable or unplug the sonars and check for improvement,Escalate,,,
Lionel is not moving in a straight line / Wheel is dragging,Perform a visual inspection for wheel obstruction / debris caught in the wheels,Power cycle the robot,Check for any errors on the GUI,"ssh into the robot, check ""docker logs -f bringup_hardware"" for motor connections",Escalate,,
"Lionel is flagging many marks as ""bad marks""",Double check the quality of the marks - is the nozzle blocked,Give the marking camera lens a light wipe to clean the lens,Escalate,,,,
Lionels camera beacon cant rotate to its desired location,Press the emergency stop button,Rotate the camera beacon to face the back of Lionel,Release the emergency stop button,"Press the ""Reset"" button on the GUI if the device is in an error state",Recalibrate Lionel and start running the job again,,
Lionel does not power on after toggling the switch,"Ensure that the battery is installed correctly, charged and connected to the robot","Set the switch to the ""off"" state for 10 seconds, and attempt to power on again",Check for any LEDs,"Consider replacing the fuse, which is located next to the power switch. Spare fuses should be in the MSP box",,,
Lionel does not stop marking when the nozzle is blocked / mark quality is bad,"Stop the Lionel by pushing the ""Pause"" button",Perform the steps to clear the paint flow,"Before starting Lionel again, ensure that ""Stop After 5 Bad Marks"" is enabled before starting the robot again",,,,
Lionel does not have line of sight to a Guiding Station,Ask the client to check if Lionel has line of sight to the Guiding Station,"If the Lionel does not have line of sight, is this because of a temporary obstacle or permanent?","If its a permanent obstacle, ask someone to add this obstacle into the CAD file for the hall",,,,
The robot is in a constant error / initilization state,Ensure that the emergency stop buttons arent pushed,Check the notification bell on the GUI - are there any errors being reported?,"Reboot the Guiding Station, if the problem persists contanct an AR representitive"," SSH into device and check ""docker logs -f boothbot_main""",,,
The Guiding Station cant find the Reference Beacons,Check that selected homebase is correct and is acurate relative to the real position of the Guiding Station,"Check that the GS orientation is correct according to the X,Y axis of the hall plan",Check that RBs are in the correct positions according to the map,Rotate the reference beacon head to the best side if there are internal cables obstructing the light,Check no reflection from RB to pillar,Escalate,
Device stays in error state after EStop Released,"Press ""Reset"" Button",Do a hardware reset,Check logs through SSH (Boothbot_main),,,,
"The Guiding Station pose stays ""Unlocated"" after finding both reference beacons",Ensure the RBs are placed at the correct positions,Escalate,"SSH into the device and check ""roslog cali""",Check the RB co-ordinates on the processed map vs the CAD,,,
The Guiding Station camera beacon cant rotate to its desired location,Press the emergency stop button,Rotate the camera beacon to ensure the cable is not tangled,Release the emergency stop button,"Press the ""Reset"" button on the GUI if the device is in an error state",,,
The Charging Station doesnt power on at all,Ensure the circuit breaker switch is in the correct position,Check that the power cable is properly connected to the CSP and the wall,Check that the wall-plug is on,Escalate,,,
One of the Charging Ports doesnt work,Try another port,"Organise a replacement of the CSP, likely needs repair",,,,,
Fan is making a noise,Continue to monitor,"Organise a replacement of the CSP, likely needs repair",,,,,
Charging station power is tripping ,Check the breaker buttons on the CSP,Unplug all batteries,Plug in a single battery,Escalate,,,
The locating laser wont power on,Check that the battery cover is fitted correctly,Replace the AAA battery in the RB,,,,,
Feet are loose,"Tighten the bolts on the feet, ensuring they are all at a similar height",,,,,,
LEDs wont power on,Check that the 12V battery is powered on,Ensure that the 12V battery is charged,Check the wires from the battery to the RB LEDs are not damaged,Try an alternative battery or RB,,,
One LED doesnt turn on,Ensure that the wires are not damaged / unplugged,Try an alternative battery or RB,,,,,
